# This is an exemplary isentrope for an opx mantle composition, exported
# from HeFESTo, for a surface adiabatic temperature of 1600 K. Temperature
# column contains entropy for this table.
#
# POINTS: 1401
# depth (m), pressure (Pa), entropy (J/kg/K), density (kg/m^3)
depth             pressure          temperature       density
0 0 2534.05 3362.76
5744.54 100000000 2534.05 3365.46
9659.71 200000000 2534.05 3368.15
13574.9 300000000 2534.05 3370.83
17234.1 400000000 2534.05 3373.51
20746.8 500000000 2534.05 3376.17
24259.5 6e+08 2534.05 3378.83
27280.6 7e+08 2534.05 3381.48
30281.1 800000000 2534.05 3384.12
33281.7 900000000 2534.05 3386.75
36282.3 1000000000 2534.05 3389.38
39282.9 1100000000 2534.05 3392
42288 1.2e+09 2534.05 3394.61
45294.6 1300000000 2534.05 3397.21
48301.3 1.4e+09 2534.05 3399.8
51307.9 1500000000 2534.05 3402.39
54314.5 1600000000 2534.05 3404.97
57321.1 1.7e+09 2534.05 3407.54
60327.9 1800000000 2534.05 3410.1
63336.3 1.9e+09 2534.05 3412.66
66344.8 2000000000 2534.05 3415.21
69353.2 2100000000 2534.05 3417.75
72361.6 2200000000 2534.05 3420.29
75370 2.3e+09 2534.05 3422.81
78378.5 2.4e+09 2534.05 3425.33
81385.7 2500000000 2534.05 3427.85
84391.5 2600000000 2534.05 3430.36
87397.4 2700000000 2534.05 3432.86
90403.2 2.8e+09 2534.05 3435.35
93409.1 2.9e+09 2534.05 3437.84
96414.9 3000000000 2534.05 3440.32
99420.7 3100000000 2534.05 3442.79
102427 3200000000 2534.05 3445.26
105432 3.3e+09 2534.05 3447.72
108438 3.4e+09 2534.05 3450.17
111444 3500000000 2534.05 3452.62
114450 3600000000 2534.05 3455.06
117456 3700000000 2534.05 3457.5
120463 3.8e+09 2534.05 3459.93
123470 3.9e+09 2534.05 3462.35
126476 4000000000 2534.05 3464.77
129483 4.1e+09 2534.05 3467.18
132489 4200000000 2534.05 3469.59
135496 4300000000 2534.05 3471.99
138503 4400000000 2534.05 3474.38
141509 4500000000 2534.05 3476.77
144516 4.6e+09 2534.05 3479.15
147523 4700000000 2534.05 3481.52
150529 4.8e+09 2534.05 3483.89
153535 4900000000 2534.05 3486.26
156542 5000000000 2534.05 3488.62
159548 5.1e+09 2534.05 3490.97
162555 5200000000 2534.05 3493.32
165561 5.3e+09 2534.05 3495.66
168567 5400000000 2534.05 3498
171574 5500000000 2534.05 3500.33
174580 5.6e+09 2534.05 3502.65
177586 5700000000 2534.05 3504.98
180593 5.8e+09 2534.05 3507.29
183599 5900000000 2534.05 3509.6
186605 6000000000 2534.05 3511.9
189612 6.1e+09 2534.05 3514.2
192618 6200000000 2534.05 3516.5
195624 6.3e+09 2534.05 3518.79
198631 6400000000 2534.05 3521.07
201637 6500000000 2534.05 3523.35
204644 6.6e+09 2534.05 3525.62
207650 6700000000 2534.05 3527.89
210656 6.8e+09 2534.05 3530.16
213663 6900000000 2534.05 3532.42
216669 7000000000 2534.05 3534.67
219675 7.1e+09 2534.05 3536.92
222608 7200000000 2534.05 3539.17
225533 7.3e+09 2534.05 3541.4
228457 7400000000 2534.05 3543.64
231381 7500000000 2534.05 3545.87
234305 7.6e+09 2534.05 3548.1
237229 7700000000 2534.05 3550.32
240153 7.8e+09 2534.05 3552.53
243078 7900000000 2534.05 3554.74
246002 8000000000 2534.05 3556.95
248926 8100000000 2534.05 3559.15
251850 8.2e+09 2534.05 3561.35
254774 8.3e+09 2534.05 3563.55
